time,current,voltage
1.67651716,5.30609335e-05,-8.95293687
1.67851716,5.42799373e-05,-9.00820872
1.68051716,5.5545506e-05,-9.06205808
1.68251716,5.6861401e-05,-9.11447643
1.68451716,5.82317956e-05,-9.16545549
1.68651716,5.96613554e-05,-9.21498723
1.68851716,6.11553137e-05,-9.26306381
1.69051716,6.27195618e-05,-9.30967765
1.69251716,6.4360756e-05,-9.35482139
1.69451716,6.6086447e-05,-9.39848788
1.69651716,6.79052366e-05,-9.44067025
1.69851716,6.9826967e-05,-9.48136183
1.70051716,7.18629538e-05,-9.52055619
1.70251716,7.40262728e-05,-9.55824714
1.70451716,7.64100202e-05,-9.59442873
1.70651716,7.88857164e-05,-9.62909526
1.70851716,8.15442749e-05,-9.66224124
1.71051716,8.44108146e-05,-9.69386143
1.71251716,8.75153368e-05,-9.72395086
1.71451716,9.08939687e-05,-9.75250476
1.71651716,9.45906065e-05,-9.77951863
1.71851716,9.86591166e-05,-9.80498819
1.72051716,0.000103166328,-9.82890944
1.72251716,0.000108196167,-9.85127859
1.72451716,0.000113855488,-9.8720921
1.72651716,0.000120282443,-9.8913467
1.72851716,0.000127658828,-9.90903934
1.73051716,0.000136228745,-9.92516723
1.73251716,0.000146327741,-9.93972782
1.73451716,0.00015842997,-9.95271881
1.73651716,0.000173227906,-9.96413815
1.73851716,0.000191774169,-9.97398404
1.74051716,0.00021575042,-9.98225492
1.74251716,0.00024801943,-9.98894948
1.74451716,0.000293882287,-9.99406668
1.74651716,0.000364375646,-9.9976057
1.74851716,0.000486902598,-9.99956598
1.75051716,0.000753434605,-9.99994721
1.75076716,0.000809833545,-9.99988383
1.75126716,0.000957191963,-9.99968305
1.75139216,0.00100284216,-9.99961743
1.75164216,0.00110952753,-9.9994677
1.75214216,0.0014130023,-9.99909421
1.75215234,0.00142097047,-9.99908558
1.75217271,0.0014370083,-9.99906819
1.7521778,0.00144087651,-9.99906382
1.75218798,0.00144956531,-9.99905505
1.75220835,0.00146414308,-9.99903738
1.75224908,0.00148908572,-9.99900154
1.75233053,0.00154098542,-9.99892791
