time,L(0;0)(1;0),L(0;0)(0;1),L(0;1)(1;1),L(0;1)(0;2),L(0;2)(1;2),L(0;2)(0;3),L(0;3)(1;3),L(1;0)(2;0),L(1;0)(1;1),L(1;1)(2;1),L(1;1)(1;2),L(1;2)(2;2),L(1;2)(1;3),L(1;3)(2;3),L(2;0)(3;0),L(2;0)(2;1),L(2;1)(3;1),L(2;1)(2;2),L(2;2)(3;2),L(2;2)(2;3),L(2;3)(3;3),L(3;0)(3;1),L(3;1)(3;2),L(3;2)(3;3)
0.06667,200000.086,200000.06,200000.15,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,196381.693,200000.0,200000.0
0.06767,200000.086,200000.06,200000.15,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,196144.553,200000.0,200000.0
0.06967,200000.086,200000.06,200000.15,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,195648.986,200000.0,200000.0
0.07167,200000.086,200000.06,200000.15,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,195125.322,200000.0,200000.0
0.07367,200000.086,200000.06,200000.15,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,194573.946,200000.0,200000.0
0.07567,200000.086,200000.06,200000.15,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,193995.242,200000.0,200000.0
0.07767,200000.086,200000.06,200000.15,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,193389.601,200000.0,200000.0
0.07967,200000.086,200000.06,200000.15,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,192757.426,200000.0,200000.0
0.08167,200000.086,200000.06,200000.15,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,192099.13,200000.0,200000.0
0.08367,200000.086,200000.06,200000.15,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,191415.137,200000.0,200000.0
0.08567,200000.086,200000.06,200000.15,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,190705.912,199997.838,200000.0
0.08592,200000.086,200000.06,200000.15,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,190615.304,199997.088,200000.0
0.08642,200000.086,200000.06,200000.15,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,190433.321,199995.168,200000.0
0.086435625,200000.086,200000.06,200000.15,200000.037,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,190427.609,199995.094,200000.0
0.086466875,200000.086,200000.06,200000.15,200000.074,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,190416.181,199994.944,200000.0
0.086529375,200000.086,200000.06,200000.15,200000.074,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,190393.307,199994.635,200000.0
0.086654375,200000.086,200000.06,200000.15,200000.074,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,190347.488,199993.977,200000.0
0.086904375,200000.086,200000.06,200000.15,200000.074,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,190255.561,199992.505,200000.0
